DATE	VALUE	
30-11-2017	0.246433
1-12-2017	0.250352
2-12-2017	0.255656
3-12-2017	0.25553
4-12-2017	0.252919
5-12-2017	0.253598
6-12-2017	0.245416
7-12-2017	0.232623
8-12-2017	0.223636
9-12-2017	0.252162
10-12-2017	0.245548
11-12-2017	0.236574
12-12-2017	0.252258
13-12-2017	0.372689
14-12-2017	0.470648
15-12-2017	0.86176
16-12-2017	0.755493
17-12-2017	0.754125
18-12-2017	0.728036
19-12-2017	0.777447
20-12-2017	0.787171
21-12-2017	0.782515
22-12-2017	1.17
23-12-2017	1.17
24-12-2017	1.18
25-12-2017	1.05
26-12-2017	1.12
27-12-2017	1.18
28-12-2017	1.39
29-12-2017	1.44
30-12-2017	2.2
31-12-2017	2.1
1-1-2018	2.3
2-1-2018	2.37
3-1-2018	2.46
4-1-2018	3.12
5-1-2018	3.3
6-1-2018	3.02
7-1-2018	3.09
8-1-2018	3.36
9-1-2018	2.44
10-1-2018	2.13
11-1-2018	1.98
12-1-2018	1.94
13-1-2018	2.05
14-1-2018	2.02
15-1-2018	1.86
16-1-2018	1.68
17-1-2018	1.18
18-1-2018	1.31
19-1-2018	1.58
20-1-2018	1.56
21-1-2018	1.58
22-1-2018	1.39
23-1-2018	1.35
24-1-2018	1.35
25-1-2018	1.36
26-1-2018	1.31
27-1-2018	1.22
28-1-2018	1.22
29-1-2018	1.4
30-1-2018	1.33
31-1-2018	1.13
1-2-2018	1.16
2-2-2018	0.960642
3-2-2018	0.891992
4-2-2018	0.913418
5-2-2018	0.825943
6-2-2018	0.705121
7-2-2018	0.774576
8-2-2018	0.729252
9-2-2018	0.79714
10-2-2018	0.947251
11-2-2018	1.07
12-2-2018	1.01
13-2-2018	1.08
14-2-2018	1.03
15-2-2018	1.14
16-2-2018	1.14
17-2-2018	1.14
18-2-2018	1.2
19-2-2018	1.12
20-2-2018	1.14
21-2-2018	1.08
22-2-2018	1.01
23-2-2018	0.934176
24-2-2018	0.997659
25-2-2018	0.951977
26-2-2018	0.943704
27-2-2018	0.959302
28-2-2018	0.944697
1-3-2018	0.904131
2-3-2018	0.926638
3-3-2018	0.908786
4-3-2018	0.906008
5-3-2018	1.01
6-3-2018	0.954448
7-3-2018	0.924378
8-3-2018	0.872508
9-3-2018	0.826122
10-3-2018	0.854872
11-3-2018	0.795765
